Ticker,Company,Price,Market Cap,Score
MMM,3M Company,163.22,85130207232.0,55
AOS,A.O. Smith Corporation,58.69,8089161728.0,80
ABT,Abbott Laboratories,87.83,152983453696.0,63
ABBV,AbbVie Inc.,230.01,406380019712.0,50
ACN,Accenture plc,124.83,76388728832.0,85
ADBE,Adobe Inc.,194.9,77472751616.0,75
AMD,"Advanced Micro Devices, Inc.",551.63,899488219136.0,60
AES,The AES Corporation,14.65,10447760384.0,50
AFL,AFLAC Incorporated,116.55,59322191872.0,78
A,"Agilent Technologies, Inc.",126.49,35724816384.0,75
APD,"Air Products and Chemicals, Inc",283.11,63043125248.0,58
ABNB,"Airbnb, Inc.",139.19,82609946624.0,75
AKAM,"Akamai Technologies, Inc.",120.74,17553840128.0,50
ALB,Albemarle Corporation,156.69,18479179776.0,60
ARE,Alexandria Real Estate Equities,50.73,8840690688.0,50
ALGN,"Align Technology, Inc.",173.76,12444365824.0,68
ALLE,Allegion plc,130.93,11251581952.0,70
LNT,Alliant Energy Corporation,73.21,18908461056.0,63
ALL,Allstate Corporation (The),222.56,57291599872.0,85
GOOGL,Alphabet Inc.,349.68,4266995482624.0,75
GOOG,Alphabet Inc.,348.78,4256013221888.0,75
MO,"Altria Group, Inc.",69.51,116074143744.0,60
AMZN,"Amazon.com, Inc.",232.79,2504147599360.0,65
AMCR,Amcor plc,40.68,18808223744.0,50
AEE,Ameren Corporation,109.7,30359652352.0,63
AEP,American Electric Power Company,130.3,70896885760.0,63
AXP,American Express Company,338.07,230674120704.0,70
AIG,"American International Group, I",76.37,40491847680.0,70
AMT,American Tower Corporation (REI,176.43,82197512192.0,55
AWK,"American Water Works Company, I",124.92,24394442752.0,63
AMP,"Ameriprise Financial, Inc.",471.41,42378387456.0,75
AME,"AMETEK, Inc.",241.55,55363985408.0,68
AMGN,Amgen Inc.,344.72,186048249856.0,60
APH,Amphenol Corporation,165.96,204169723904.0,65
